,id,headlines,vader_prediction,roberta_prediction,Human 1,Human 2,Human 3,Final Sentiment
1,1139,74% of 67M ballots for May polls printed: Comelec,neutral,negative,N,Nu,Nu,Nu
2,1329,BARMM extends aid to 750 IPs in NoCot,positive,positive,P,P,P,P
3,1506,BARMM opens another Covid-19 facility in Maguindanao,neutral,positive,P,P,P,P
4,116,Senate to look into BARMM's low budget utilization,negative,negative,N,Nu,N,N
5,1260,BARMM sends relief goods to Dinagat Islands,positive,positive,P,P,P,P
6,1522,Expansion of Buluan hospital pushed,neutral,positive,P,P,P,P
7,1702,9 recoveries bring down BARMM Covid-19 caseload to 137 cases,neutral,positive,P,P,P,P
8,556,SWS survey validates relevance of Food Stamp Program - DSWD,positive,positive,P,P,P,P
9,1056,Palace declares May 3 regular holiday to mark Eid'l Fitr,positive,negative,P,Nu,Nu,Nu
10,1175,Trough of LPA to bring rains over parts of Mindanao,neutral,negative,N,Nu,Nu,Nu
11,416,160-man elite police unit deployed to Lanao Sur for peacekeeping,positive,positive,P,P,Nu,P
12,1023,PDEA seizes P6.8-M shabu in Cotabato City,neutral,negative,P,N,N,N
13,366,Nearly 90K voters to join plebiscite on creation of 8 Cotabato towns,positive,positive,P,Nu,Nu,Nu
14,1269,Over 1.5M Janssen doses donated by Dutch gov't arrive,neutral,positive,P,P,P,P
15,923,New buildings open in 5 schools in Maguindanao,neutral,positive,P,P,P,P
16,1655,BARMM completes P50-M school projects in Sulu,neutral,positive,P,P,P,P
17,901,BARMM to bring gov't services to Basilan,neutral,positive,P,P,P,P
18,412,State of human rights in PH improves under PBBM admin,positive,positive,P,P,P,P
19,620,VP Sara lauds stakeholders help in BARRM during Ramadan,positive,positive,P,P,P,P
20,24,BARMM launches P32.6-M school building projects in Maguindanao Sur,neutral,positive,P,P,P,P
21,1235,BARMM starts 2022 with P200-M investments,neutral,positive,P,Nu,P,P
22,1074,P38-M bridge seen to improve road connectivity in Lanao Sur,positive,positive,P,P,P,P
